Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales
3480:Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.58
3501:XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.57
3524:WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.57
3543:Top Spin 3,PS3,2008,Action,Take-Two Interactive,0.57
3570:Top Spin 3,X360,2008,Action,Take-Two Interactive,0.56
3589:Manhunt 2,PS2,2007,Action,Take-Two Interactive,0.56
3604:Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,0.56
3623:Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,0.55
3650:NBA 2K8,PS3,2007,Sports,Take-Two Interactive,0.55
365:Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,3.54
3676:Red Dead Revolver,XB,2004,Shooter,Take-Two Interactive,0.55
3684:Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.54
3768:Manhunt 2,Wii,2007,Action,Take-Two Interactive,0.53
3799:Oni,PS2,2001,Action,Take-Two Interactive,0.53
3807:The Warriors,PS2,2005,Action,Take-Two Interactive,0.53
3874:Go Diego Go! Safari Rescue,Wii,2008,Action,Take-Two Interactive,0.52
388:Borderlands,X360,2009,Shooter,Take-Two Interactive,3.44
3902:Major League Baseball 2K10,X360,2010,Sports,Take-Two Interactive,0.51
391:Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,3.42
3926:The BIGS,PS2,2007,Sports,Take-Two Interactive,0.51
3927:WWE 2K16,PS3,2015,Sports,Take-Two Interactive,0.51
3945:Bully: Scholarship Edition,Wii,2008,Action,Take-Two Interactive,0.5
3947:Midnight Club II,XB,2003,Racing,Take-Two Interactive,0.5
3982:Major League Baseball 2K12,X360,2012,Sports,Take-Two Interactive,0.5
4020:NBA 2K11,Wii,2010,Action,Take-Two Interactive,0.49
40:Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1
4117:Major League Baseball 2K13,X360,2013,Sports,Take-Two Interactive,0.48
411:Max Payne,PS2,2001,Shooter,Take-Two Interactive,3.31
4136:Go Diego Go! Great Dinosaur Rescue,DS,2008,Action,Take-Two Interactive,0.47
4279:Dora The Explorer: Dora Saves the Snow Princess,DS,2008,Platform,Take-Two Interactive,0.45
4299:Nickelodeon Team Umizoomi,DS,2011,Action,Take-Two Interactive,0.45
4316:Major League Baseball 2K11,X360,2011,Sports,Take-Two Interactive,0.45
435:L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,3.17
4399:Sid Meier's Civilization Revolution,DS,2008,Strategy,Take-Two Interactive,0.44
4452:The Darkness,X360,2007,Shooter,Take-Two Interactive,0.44
4479:Spec Ops: Covert Assault,PS,2001,Shooter,Take-Two Interactive,0.43
4483:Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive,0.43
44:Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61
4508:WWE 2K16,X360,2015,Sports,Take-Two Interactive,0.43
4517:Dora the Explorer: Dora Puppy,DS,2009,Misc,Take-Two Interactive,0.43
4528:Max Payne 3,PC,2012,Shooter,Take-Two Interactive,0.43
4558:NHL 2K6,PS2,2005,Sports,Take-Two Interactive,0.42
461:Borderlands 2,X360,2012,Shooter,Take-Two Interactive,3.05
4625:NBA 2K11,PSP,2010,Action,Take-Two Interactive,0.42
4630:NBA 2K13,Wii,2012,Sports,Take-Two Interactive,0.42
4636:Spec Ops: The Line,X360,2012,Shooter,Take-Two Interactive,0.42
4677:Grudge Warriors,PS,1999,Action,Take-Two Interactive,0.41
4712:BioShock,PC,2007,Shooter,Take-Two Interactive,0.41
4719:Top Spin 4,X360,2011,Sports,Take-Two Interactive,0.41
4726:NBA 2K11,PS2,2010,Action,Take-Two Interactive,0.41
4732:NBA 2K9,PS2,2008,Sports,Take-Two Interactive,0.41
4754:Duke Nukem Forever,PC,2011,Shooter,Take-Two Interactive,0.41
475:NBA 2K13,X360,2012,Sports,Take-Two Interactive,3
4775:NBA 2K10,PS2,2009,Sports,Take-Two Interactive,0.4
4835:Mafia II,PC,2010,Action,Take-Two Interactive,0.4
4862:Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,Take-Two Interactive,0.39
4896:Thrasher Presents: Skate and Destroy,PS,1998,Sports,Take-Two Interactive,0.39
4934:The Darkness II,X360,2012,Shooter,Take-Two Interactive,0.39
5017:Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,Platform,Take-Two Interactive,0.38
5075:NBA 2K10,Wii,2009,Sports,Take-Two Interactive,0.37
5084:NBA 2K7,PS3,2006,Sports,Take-Two Interactive,0.37
5116:BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.37
5123:The BIGS,Wii,2007,Sports,Take-Two Interactive,0.37
5167:Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.36
518:BioShock,X360,2007,Shooter,Take-Two Interactive,2.83
5201:NBA 2K6,XB,2005,Action,Take-Two Interactive,0.36
5227:Disney's The Haunted Mansion,PS2,2003,Platform,Take-Two Interactive,0.36
5241:NHL 2K10,PS2,2009,Sports,Take-Two Interactive,0.36
5251:Wonder Pets! Save the Animals!,DS,2008,Adventure,Take-Two Interactive,0.35
5283:NHL 2K10,Wii,2009,Sports,Take-Two Interactive,0.35
5310:College Hoops 2K8,PS2,2007,Sports,Take-Two Interactive,0.35
5385:NBA 2K12,Wii,2011,Sports,Take-Two Interactive,0.34
53:Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01
5543:NBA 2K10,PSP,2009,Sports,Take-Two Interactive,0.33
5544:Major League Baseball 2K6,XB,2006,Sports,Take-Two Interactive,0.33
558:L.A. Noire,X360,2011,Adventure,Take-Two Interactive,2.7
5642:Prey,X360,2006,Shooter,Take-Two Interactive,0.32
5651:The Darkness II,PS3,2012,Shooter,Take-Two Interactive,0.32
5716:Birthday Party Bash,Wii,2009,Misc,Take-Two Interactive,0.31
5749:KISS Pinball,PS,2001,Action,Take-Two Interactive,0.31
5763:Bass Hunter 64,N64,1999,Sports,Take-Two Interactive,0.31
5767:Manhunt 2,PSP,2007,Action,Take-Two Interactive,0.31
581:Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,2.63
585:NBA 2K12,X360,2011,Sports,Take-Two Interactive,2.62
5878:Monster Truck Madness 64,N64,1999,Racing,Take-Two Interactive,0.3
5998:Ford Mustang: The Legend Lives,PS2,2005,Racing,Take-Two Interactive,0.29
59:Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.5
6025:Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,0.29
6035:The BIGS 2,Wii,2009,Sports,Take-Two Interactive,0.29
605:Ghostbusters: The Video Game (DS Version),X360,2009,Action,Take-Two Interactive,2.56
6101:The Warriors,XB,2005,Action,Take-Two Interactive,0.28
614:NBA 2K14,X360,2013,Sports,Take-Two Interactive,2.52
622:Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,Take-Two Interactive,2.49
6252:Q-Ball: Billiards Master,PS2,2000,Sports,Take-Two Interactive,0.27
6265:NBA 2K12,PSP,2011,Sports,Take-Two Interactive,0.27
6300:The Warriors,PSP,2007,Action,Take-Two Interactive,0.27
630:NBA 2K13,PS3,2012,Sports,Take-Two Interactive,2.47
633:NBA 2K15,PS4,2014,Sports,Take-Two Interactive,2.45
6346:NHL 2K11,Wii,2010,Sports,Take-Two Interactive,0.27
636:Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,2.45
6383:The BIGS,X360,2007,Sports,Take-Two Interactive,0.27
6423:All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.26
6432:Rune: Viking Warlord,PS2,2001,Action,Take-Two Interactive,0.26
6463:Ford Racing 3,PS2,2004,Racing,Take-Two Interactive,0.26
6469:Major League Baseball 2K10,Wii,2010,Sports,Take-Two Interactive,0.26
6488:Major League Baseball 2K9,Wii,2009,Sports,Take-Two Interactive,0.26
6490:WWE 2K17,XOne,2016,Sports,Take-Two Interactive,0.26
6509:Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,2009,Misc,Take-Two Interactive,0.26
6529:Don King Boxing,Wii,2009,Sports,Take-Two Interactive,0.26
6540:Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.26
6586:The Elder Scrolls IV: Oblivion,PC,2006,Role-Playing,Take-Two Interactive,0.25
6600:Surfing H3O,PS2,2000,Sports,Take-Two Interactive,0.25
6673:Wheel of Fortune,N64,1997,Misc,Take-Two Interactive,0.25
6693:The Bureau: XCOM Declassified,PS3,2013,Shooter,Take-Two Interactive,0.25
6701:Don King Presents: Prizefighter,X360,2008,Sports,Take-Two Interactive,0.25
6703:The Backyardigans,DS,2009,Adventure,Take-Two Interactive,0.25
6716:L.A. Noire: The Complete Edition,PC,2011,Adventure,Take-Two Interactive,0.25
674:Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,2.35
6756:Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,0.25
6821:BioShock 2,PC,N/A,Shooter,Take-Two Interactive,0.24
682:NBA 2K16,XOne,2015,Sports,Take-Two Interactive,2.34
686:Grand Theft Auto,PS,1997,Action,Take-Two Interactive,2.32
6888:Grand Theft Auto,GBA,2004,Action,Take-Two Interactive,0.24
6898:Ghost Rider,PSP,2007,Action,Take-Two Interactive,0.24
6905:Nickelodeon Dance,Wii,2011,Misc,Take-Two Interactive,0.24
6998:XCOM 2,PC,2016,Strategy,Take-Two Interactive,0.23
7023:NBA 2K6,X360,2005,Action,Take-Two Interactive,0.23
7025:Major League Baseball 2K10,PS2,2010,Sports,Take-Two Interactive,0.23
7028:Mafia,XB,2004,Action,Take-Two Interactive,0.23
7107:Spec Ops: The Line,PC,2012,Shooter,Take-Two Interactive,0.23
7122:New Carnival Games,DS,2010,Misc,Take-Two Interactive,0.22
7270:Saltwater Sportfishing,PS,2001,Sports,Take-Two Interactive,0.22
729:Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,2.23
7321:College Hoops 2K7,X360,2006,Sports,Take-Two Interactive,0.21
7341:The Bureau: XCOM Declassified,X360,2013,Shooter,Take-Two Interactive,0.21
7347:NHL 2K6,XB,2005,Sports,Take-Two Interactive,0.21
7350:World Poker Tour,PS2,2005,Misc,Take-Two Interactive,0.21
7362:The BIGS 2,X360,2009,Sports,Take-Two Interactive,0.21
746:BioShock 2,X360,2010,Shooter,Take-Two Interactive,2.2
7525:Midnight Club 3: DUB Edition Remix,XB,2006,Racing,Take-Two Interactive,0.2
7568:Major League Baseball 2K11,PS3,2011,Sports,Take-Two Interactive,0.2
7628:The BIGS 2,PS2,2009,Sports,Take-Two Interactive,0.2
7679:Sid Meier's Pirates!,PSP,2007,Strategy,Take-Two Interactive,0.2
7725:Major League Baseball 2K12,PS3,2012,Sports,Take-Two Interactive,0.19
7726:Family Guy,PSP,2006,Action,Take-Two Interactive,0.19
7754:Manhunt,XB,2004,Action,Take-Two Interactive,0.19
7781:Mafia III,PC,2016,Action,Take-Two Interactive,0.19
782:NBA 2K12,PS3,2011,Sports,Take-Two Interactive,2.11
7850:NBA 2K11,PC,2010,Action,Take-Two Interactive,0.19
7877:Evolve,PC,2015,Shooter,Take-Two Interactive,0.19
787:NBA 2K14,PS3,2013,Sports,Take-Two Interactive,2.11
794:Borderlands,PS3,2009,Shooter,Take-Two Interactive,2.09
7957:Major League Baseball 2K10,PS3,2010,Sports,Take-Two Interactive,0.19
797:NBA 2K11,X360,2010,Action,Take-Two Interactive,2.09
7997:Close Combat: First to Fight,XB,2005,Shooter,Take-Two Interactive,0.18
8044:Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Action,Take-Two Interactive,0.18
8127:Borderlands,PC,2009,Shooter,Take-Two Interactive,0.18
813:Spec Ops: Airborne Commando,PS,2002,Shooter,Take-Two Interactive,2.07
8147:Ball Breakers,PS,2000,Action,Take-Two Interactive,0.18
8159:College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,0.18
8183:College Hoops 2K8,X360,2007,Sports,Take-Two Interactive,0.18
8230:Major League Baseball 2K6,GC,2006,Sports,Take-Two Interactive,0.17
8260:NHL 2K9,X360,2008,Sports,Take-Two Interactive,0.17
8305:Top Spin 2,X360,2006,Sports,Take-Two Interactive,0.17
830:Ghostbusters: The Video Game (DS Version),PS3,2010,Action,Take-Two Interactive,2.05
8385:State of Emergency,XB,2003,Action,Take-Two Interactive,0.17
